,Departamento,Municipio,aguacate,arroz,cafe,cebollaC,papa
0,Tolima,Planadas,No apta,No apta,Aptitud alta,"Aptitud alta,Exclusión legal",No apta
1,Valle del Cauca,Jamundí,No apta,No apta,Aptitud alta,"Aptitud baja,Exclusión legal",Exclusión legal
2,Boyacá,El Espino,No apta,No apta,"No apta,Aptitud baja",Aptitud alta,No apta
3,Nariño,El Tablón,No apta,Exclusión legal,Aptitud alta,No apta,No apta
4,Nariño,Samaniego,No apta,No apta,Aptitud alta,No apta,No apta
5,Nariño,La Cruz,Exclusión legal,Exclusión legal,Aptitud alta,No apta,No apta
6,Nariño,San Pablo,No apta,Exclusión legal,Aptitud alta,"Exclusión legal,Aptitud media","Exclusión legal,Aptitud media"
7,Bolívar,San Pablo,Exclusión legal,Aptitud baja,Exclusión legal,Aptitud baja,Exclusión legal
8,Huila,Pital,"Aptitud media,Aptitud baja",Aptitud baja,Aptitud alta,No apta,Exclusión legal
9,Cauca,Puracé (Coconuco),"Aptitud baja,Aptitud media",Exclusión legal,Aptitud alta,Exclusión legal,No apta
10,Cauca,Popayán,No apta,Exclusión legal,No apta,No apta,No apta
11,Cauca,Silvia,Aptitud media,Exclusión legal,Aptitud alta,No apta,"Exclusión legal,Aptitud alta"
12,Cauca,Páez (Belalcázar),No apta,No apta,Aptitud alta,No apta,No apta
13,Cauca,Corinto,"No apta,Exclusión legal",No apta,Aptitud alta,No apta,Exclusión legal
14,Huila,Neiva,"Exclusión legal,Aptitud media",No apta,No apta,No apta,No apta
15,Tolima,Rioblanco,Exclusión legal,Exclusión legal,No apta,No apta,Exclusión legal
16,Huila,Colombia,No apta,Aptitud baja,Aptitud alta,No apta,Aptitud baja
17,Tolima,Rovira,Aptitud media,"Aptitud media,No apta",Aptitud alta,"Aptitud alta,Exclusión legal","No apta,Exclusión legal"
18,Quindío,Calarcá,No apta,No apta,No apta,No apta,Exclusión legal
19,Tolima,Cajamarca,Exclusión legal,Exclusión legal,Exclusión legal,Exclusión legal,No apta
20,Amazonas,Leticia,No apta,Aptitud baja,No apta,Aptitud media,No apta
21,Guaviare,San José del Guaviare,Exclusión legal,Aptitud baja,Exclusión legal,Aptitud media,Exclusión legal
22,Meta,Puerto Rico,Exclusión legal,No apta,No apta,No apta,Exclusión legal
23,Caquetá,Puerto Rico,Exclusión legal,Aptitud baja,No apta,No apta,Exclusión legal
24,Meta,Vistahermosa,No apta,No apta,No apta,No apta,No apta
